artist,track,year,decade,duration,tempo,energy,danceability,key,genre
Chuck Berry,Johnny B Goode,1958,1950s,160.9329,81.961,0.666,0.5863,D,Rock
Sam Cooke,Wonderful World,1960,1960s,125.1881,128.265,0.3704,0.6876,B,"Rock,Funk / Soul"
Jerry Lee Lewis,"Whole Lotta Shakin' Goin' On",1957,1950s,265.0267,172.579,0.9425,0.1377,C,Rock
Tommy Edwards,"It's All in the Game",1958,1950s,78.5,70.42,0.2713,0.5006,Eb,Pop
Londonbeat,"I've Been Thinking About You",1990,1990s,305.5867,113.56,0.8786,0.6376,B,Pop
Mariah Carey,Dreamlover,1993,1990s,233.6,100.676,0.743,0.6931,F,"Electronic,Pop"
Kenny Loggins,Footloose,1984,1980s,220.6933,174.19,0.949,0.3999,A,Stage & Screen
Right Said Fred,"I'm Too Sexy",1991,1990s,89.9773,122.112,0.8187,0.6548,A,"Electronic,Pop"
Mario Lanza,Be My Love,1951,1950s,210.44,87.245,0.4298,0.1691,C#,"Pop,Stage & Screen"
Procol Harum,A Whiter Shade of Pale,1967,1960s,237.6933,74.4,0.6939,0.1729,C,Rock
Richard Marx,Right Here Waiting,1989,1980s,289.4533,76.034,0.2563,0.6127,C,Rock
Ini Kamoze,Here Comes the Hotstepper,1995,1990s,249.8267,100.359,0.571,0.8838,G,Hip Hop
Alicia Keys,No One,2007,2000s,238.56,94.845,0.8167,0.4703,A,Hip Hop
The Drifters,Save the Last Dance For Me,1960,1960s,135.4667,163.456,0.6318,0.4409,D,Rock
The Beatles,Yesterday,1965,1960s,125.6662,95.018,0.1904,0.3427,F,"Rock,Pop"
The Rolling Stones,Paint it Black,1966,1960s,134.7733,80.706,0.9485,0.4425,C,Rock
The Police,Every Breath You Take,1983,1980s,266.6053,117.336,0.5406,0.8205,C#,"Rock,Pop"
Nini Rosso,Il Silenzio,1965,1960s,186.4133,96.027,0.3416,0.3624,Bb,"Jazz,Pop"
Chris Montez,"Let's Dance",1962,1960s,30.0665,77.021,0.7496,0.694,Bb,"Latin,Pop"
Les Paul & Mary Ford,"Mockin' Bird Hill",1951,1950s,141.0662,164.317,0.4122,0.5447,C#,"Jazz,Pop,Folk, World, & Country"
Johnnie Ray,Cry,1951,1950s,184.2387,70.189,0.1773,0.3152,C,"Rock,Funk / Soul"
Kitty Kallen,Little Things Mean a Lot,1954,1950s,89.15,82.566,0.091,0.4536,Ab,"Pop,Folk, World, & Country"
Sheryl Crow,All I Wanna Do,1994,1990s,234.2714,121.517,0.7258,0.6807,E,"Rock,Pop"
Meat Loaf,"I'd Do Anything For Love (But I Won't Do That)",1993,1990s,382.3733,105.896,0.5703,0.3844,C,Rock
George Michael,Faith,1987,1980s,213.3354,95.784,0.4059,0.8205,B,Rock
Elvis Presley,Are You Lonesome Tonight?,1960,1960s,150.6667,103.191,0.8678,0.4895,Ab,Rock
Wings,Mull of Kintyre,1977,1970s,284.5867,92.153,0.3772,0.3428,D,Rock
Las Ketchup,The Ketchup Song (Asereje),2002,2000s,209.072,184.041,0.777,0.6454,Bb,Electronic
Amii Stewart,Knock On Wood,1979,1970s,225.2,143.12,0.9265,0.6387,D,Electronic
Roberta Flack,Killing Me Softly With His Song,1973,1970s,282.4877,121.364,0.1838,0.4649,F,Funk / Soul
Nat King Cole,Unforgettable,1951,1950s,30.0665,84.473,0.1057,0.3479,E,Pop
The Beatles,She Loves You,1964,1960s,140.4,150.508,0.837,0.3585,G,Rock
Kaoma,Lambada,1989,1980s,366.3535,119.107,0.8223,0.7925,Bb,Latin
Elvis Presley,Surrender,1961,1960s,110.6301,80.809,0.6135,0.3727,Eb,"Rock,Pop"
"Guns n' Roses","Sweet Child O' Mine",1988,1980s,356.08,125.122,0.9111,0.451,F#,Rock
Madonna,Music,2000,2000s,224.24,119.847,0.8326,0.7336,G,"Electronic,Pop"
Phil Collins,A Groovy Kind of Love,1988,1980s,210.4,143.663,0.2163,0.2009,D,"Rock,Stage & Screen"
Mariah Carey,We Belong Together,2005,2000s,262.8933,127.966,0.8706,0.6915,A,"Electronic,Hip Hop"
Brandy & Monica,The Boy is Mine,1998,1990s,239.96,93.028,0.6428,0.7069,C#,Hip Hop
Ray Parker Jr,Ghostbusters,1984,1980s,296.8028,115.577,0.7049,0.7677,E,"Electronic,Pop,Stage & Screen"
George Harrison,My Sweet Lord,1971,1970s,275.7333,130.744,0.8864,0.5594,C#,Rock
The Monkees,"I'm a Believer",1967,1960s,162.4528,80.128,0.8111,0.529,C,"Rock,Pop"
The Rolling Stones,Miss You,1978,1970s,214.8933,109.993,0.5531,0.855,A,Rock
The Rubettes,Sugar Baby Love,1974,1970s,247.7067,134.287,0.6805,0.4983,Bb,"Rock,Pop"
Madonna,"Papa Don't Preach",1986,1980s,345.28,121.54,0.9063,0.8069,F,Pop
Chubby Checker,"Let's Twist Again",1961,1960s,142.84,162.402,0.7474,0.6354,Eb,"Rock,Blues,Pop"
Neil Young,Heart of Gold,1972,1970s,172.1987,94.916,0.1511,0.6385,G,Rock
Culture Beat,Mr Vain,1993,1990s,338.3333,132.865,0.9962,0.6732,A,Electronic
Michael Jackson,Beat It,1983,1980s,296.7035,138.479,0.6342,0.6624,Eb,Pop
Chubby Checker,The Twist,1960,1960s,156.6563,156.961,0.7346,0.3523,E,Rock
The Beatles,Come Together,1969,1960s,258.4565,164.942,0.2931,0.5286,A,Rock
Bobby Vinton,Roses Are Red,1962,1960s,227.4395,103.089,0.3733,0.381,F,Pop
Ace of Base,All That She Wants,1993,1990s,306.5867,130.038,0.8683,0.5883,F#,"Electronic,Reggae,Pop"
Shaggy,Angel,2001,2000s,235.1333,170.539,0.7665,0.7428,F#,"Hip Hop,Reggae"
Elvis Presley,In the Ghetto,1969,1960s,183.8232,95.713,0.289,0.3659,C,"Funk / Soul,Folk, World, & Country"
TLC,Waterfalls,1995,1990s,269.2933,85.659,0.6978,0.7777,Eb,Hip Hop
Daniel Powter,Bad Day,2005,2000s,234.36,139.995,0.7832,0.5728,Eb,Pop
Pussycat,Mississippi,1976,1970s,274.52,123.348,0.6956,0.6088,Bb,Rock
U2,With Or Without You,1987,1980s,277.6933,110.873,0.508,0.4543,C#,Rock
Nirvana,Smells Like Teen Spirit,1992,1990s,287.0667,126.265,0.9512,0.4015,C#,Rock
The Kalin Twins,When,1958,1950s,25.051,93.379,0.3859,0.6165,C#,Rock
Jennifer Lopez,"Love Don't Cost a Thing",2001,2000s,167.7467,97.196,0.7936,0.7051,E,Pop
Donna Summer,I Feel Love,1977,1970s,195.9067,125.74,0.8792,0.5991,G,"Electronic,Funk / Soul"
Green Day,Boulevard of Broken Dreams,2005,2000s,261.72,166.877,0.6311,0.4852,Ab,Rock
Kiss,"I Was Made For Lovin' You",1979,1970s,269.5867,128.653,0.9039,0.6562,A,Rock
Little Eva,The Loco-Motion,1962,1960s,108.0889,85.935,0.6536,0.5033,Eb,"Rock,Funk / Soul"
Gerry Rafferty,Baker Street,1978,1970s,311.6129,114.12,0.4766,0.5259,G,Rock
Mariah Carey,Vision of Love,1990,1990s,209.4933,205.02,0.6222,0.2603,F,Pop
The Beatles,Let it Be,1970,1970s,243.0267,140.616,0.391,0.4503,C,"Rock,Pop"
Vanilla Ice,Ice Ice Baby,1990,1990s,94.9696,115.632,0.4953,0.8608,G,Hip Hop
Pat Boone,Love Letters in the Sand,1957,1950s,30.0665,89.218,0.1936,0.5106,Bb,"Pop,Stage & Screen"
Kylie Minogue,"Can't Get You Out of My Head",2001,2000s,229.6796,126.021,0.6106,0.7442,A,Electronic
M,Pop Muzik,1979,1970s,116.9333,111.882,0.792,0.7495,C#,"Electronic,Rock"
Nat King Cole,Mona Lisa,1950,1950s,30.0665,92.643,0.3403,0.2347,Bb,"Jazz,Pop"
Cyndi Lauper,Girls Just Wanna Have Fun,1984,1980s,217.6638,120.521,0.8044,0.6509,F#,Pop
Elvis Presley,"It's Now Or Never",1960,1960s,194.2233,126.148,0.6219,0.6003,E,Rock
Dexys Midnight Runners,Come On Eileen,1982,1980s,287.3067,106.799,0.6585,0.4503,D,Rock
Elvis Presley,Heartbreak Hotel,1956,1950s,30.0665,94.269,0.3593,0.6889,E,Rock
OutKast,Hey Ya!,2003,2000s,134.7391,158.872,0.9743,0.6459,C,Hip Hop
Aqua,Barbie Girl,1997,1990s,57.6779,86.743,0.9253,0.688,F#,Electronic
"Gilbert O'Sullivan",Get Down,1973,1970s,162.64,123.32,0.9662,0.7272,C#,Rock
Elvis Presley,Hound Dog,1956,1950s,143.6133,92.146,0.7618,0.266,G,Rock
Sixpence None The Richer,Kiss Me,1999,1990s,176.8224,99.935,0.3887,0.539,Eb,Rock
Alicia Keys,"Fallin'",2001,2000s,284.36,178.348,0.6017,0.3037,E,"Hip Hop,Funk / Soul"
Tommy James & the Shondells,Crimson & Clover,1969,1960s,204.5862,81.738,0.2977,0.3848,B,Pop
Eminem,Without Me,2002,2000s,299.3276,112.259,0.4534,0.9029,G,Hip Hop
Red Hot Chili Peppers,Under the Bridge,1992,1990s,272.4306,82.695,0.2287,0.3748,E,Rock
Sam The Sham & The Pharaohs,Wooly Bully,1965,1960s,140.7467,139.782,0.7102,0.7915,G,Rock
Daniel Boone,Beautiful Sunday,1972,1970s,181.4267,121.502,0.6764,0.6632,D,"Rock,Pop"
Toni Braxton,Un-Break My Heart,1996,1990s,219.5062,109.888,0.4108,0.6379,B,"Electronic,Hip Hop,Pop"
The Supremes,Where Did Our Love Go,1964,1960s,160.6667,133.973,0.5652,0.8744,C,Funk / Soul
Roxette,Joyride,1991,1990s,286.3307,101.942,0.8083,0.4862,D,"Rock,Pop"
George Michael,Careless Whisper,1984,1980s,301.6796,76.425,0.4365,0.5474,D,Electronic
Mariah Carey,Fantasy,1995,1990s,234.1196,204.326,0.914,0.4194,B,"Hip Hop,Pop"
Conway Twitty,"It's Only Make Believe",1958,1950s,147.2,114.983,0.3683,0.5731,Bb,Rock
Don Cornell,Hold My Hand,1954,1950s,166.7333,83.295,0.1901,0.3972,Eb,Pop
50 Cent,In Da Club,2003,2000s,224.0726,90.015,0.4575,0.9134,C#,Hip Hop
Elvis Presley,"Don't Be Cruel",1956,1950s,159.4525,84.119,0.7277,0.4579,D,Rock
Frankie Goes To Hollywood,Relax,1984,1980s,210.1596,128.026,0.9521,0.6271,A,Electronic
Paul Anka,Lonely Boy,1959,1950s,25.051,105.402,0.5722,0.6921,C,Pop
Frank Sinatra,Strangers in the Night,1966,1960s,154.0789,89.888,0.5923,0.25,F,Jazz
Celine Dion,My Heart Will Go On,1998,1990s,441.96,98.961,0.3384,0.1756,Eb,"Electronic,Pop,Stage & Screen"
Cliff Richard,Living Doll,1959,1950s,25.051,129.804,0.4907,0.6857,E,Pop
The Human League,"Don't You Want Me",1982,1980s,239.0983,117.928,0.6151,0.6689,A,Electronic
The Black Eyed Peas,Shut Up,2003,2000s,269.0876,112.977,0.3128,0.7625,D,Hip Hop
Will Smith,Men in Black,1997,1990s,225.8,107.547,0.4962,0.7955,F,Hip Hop
Bee Gees,"Stayin' Alive",1978,1970s,283.1467,103.569,0.8279,0.7024,Bb,Pop
10cc,"I'm Not in Love",1975,1970s,231.0667,133.933,0.5788,0.2886,E,Pop
Trini Lopez,If I Had a Hammer,1963,1960s,178.8667,173.252,0.895,0.4122,D,"Rock,Latin"
The Rolling Stones,Get Off of My Cloud,1965,1960s,173.7733,126.285,0.8886,0.5677,E,Rock
Nancy Sinatra,These Boots Are Made For Walking,1966,1960s,162.5078,165.844,0.5892,0.6283,A,"Rock,Pop"
Rosemary Clooney,This Ole House,1954,1950s,70.83,104.452,0.6102,0.7697,C,"Jazz,Pop"
Elton John,Can You Feel the Love Tonight,1994,1990s,238.9867,125.898,0.2745,0.3121,Bb,"Rock,Pop,Stage & Screen"
The Beatles,Help!,1965,1960s,140.6667,94.747,0.5113,0.5339,B,Rock
R Kelly,Ignition,2003,2000s,172.9824,134.561,0.5548,0.7573,C#,"Hip Hop,Funk / Soul"
The Tornados,Telstar,1962,1960s,217.2677,144.111,0.9428,0.1569,A,Pop
The Rolling Stones,The Last Time,1965,1960s,189.68,93.691,0.9214,0.2766,A,Rock
